               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,             0.02914,           0.0076066,                   0,             0.78963,             0.67055,             0.66396,             0.34192,            0.033781,           0.0055207,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.026795,           0.0077658,                   0,             0.68412,             0.77373,             0.70647,             0.38709,             0.03041,            0.005522,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.028103,               0.006,                   0,             0.72216,             0.74284,             0.69947,             0.39717,            0.030121,           0.0057859,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.026933,           0.0069194,                   0,             0.74061,             0.71429,             0.68004,             0.40242,             0.03035,           0.0058806,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.026874,           0.0068532,                   0,             0.75378,             0.76564,             0.72855,             0.37418,             0.03208,           0.0059184,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.025047,           0.0076076,                   0,             0.73642,                0.75,             0.74202,             0.39537,            0.030938,           0.0055922,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.026442,            0.007757,                   0,             0.89822,              0.6308,             0.71241,             0.37435,            0.030853,            0.005684,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.024523,           0.0069781,                   0,             0.76283,                0.75,             0.74673,             0.37459,            0.031957,           0.0056266,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.026043,           0.0073765,                   0,             0.82653,             0.67857,             0.75215,             0.39236,            0.031764,           0.0055672,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.025014,           0.0063886,                   0,             0.75897,             0.71429,              0.7375,             0.38847,            0.031788,            0.005493,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.023967,           0.0073515,                   0,             0.76278,             0.71429,             0.72839,             0.40121,            0.030609,           0.0055594,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.026561,           0.0073962,                   0,             0.69051,                0.75,             0.66817,             0.37934,            0.030425,           0.0057896,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.023668,           0.0063377,                   0,             0.72874,             0.67185,             0.66392,             0.37133,            0.030883,           0.0058794,                   0,            0.003994,            0.003994,            0.003994
                  93,             0.02478,           0.0077911,                   0,             0.76831,             0.71073,             0.72116,             0.36996,             0.03086,           0.0058303,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.023756,           0.0060475,                   0,             0.77863,             0.67857,             0.68873,             0.39365,            0.030347,           0.0059553,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.022287,           0.0063199,                   0,             0.79042,             0.67367,             0.72623,             0.39188,             0.03197,           0.0058707,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.025635,           0.0067271,                   0,              0.7175,                0.75,             0.68855,             0.38981,            0.033917,           0.0059947,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.023928,           0.0067441,                   0,               0.788,             0.67857,             0.69564,             0.39897,            0.034385,           0.0060437,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.026461,           0.0065547,                   0,              0.7865,             0.67857,             0.69852,             0.38454,            0.034085,           0.0060215,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.024787,           0.0071019,                   0,             0.77949,             0.67857,             0.69287,             0.40464,            0.033509,           0.0059249,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.022383,           0.0059542,                   0,             0.82524,             0.67474,             0.70051,             0.39317,            0.031729,           0.0058907,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.025705,           0.0063678,                   0,             0.82518,             0.67448,             0.71324,             0.41319,            0.031748,           0.0059968,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.022965,           0.0063703,                   0,             0.84544,             0.64286,             0.72287,             0.40723,            0.032531,           0.0059228,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.023123,           0.0055594,                   0,             0.82044,             0.67857,              0.7108,             0.41061,             0.03325,           0.0060993,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.025484,           0.0072033,                   0,             0.82481,             0.67281,             0.70123,             0.39849,            0.031989,           0.0064023,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.022756,           0.0055538,                   0,             0.75062,             0.67857,             0.71233,             0.37625,            0.032516,           0.0064157,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.023114,           0.0062212,                   0,             0.77674,             0.67857,              0.7126,             0.40525,            0.032061,           0.0063804,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.021403,           0.0073888,                   0,             0.71901,                0.75,             0.74304,             0.38305,            0.031835,           0.0063518,                   0,            0.003004,            0.003004,            0.003004
                 108,             0.02446,           0.0075739,                   0,             0.81759,             0.64286,             0.72023,             0.40954,            0.030905,           0.0061939,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.025524,           0.0065988,                   0,             0.78575,                0.75,             0.75697,             0.39544,            0.030137,           0.0060775,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.020375,           0.0072597,                   0,             0.74308,                0.75,             0.74393,             0.41027,            0.028676,            0.005885,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.023325,            0.006272,                   0,             0.83231,             0.70927,             0.73027,             0.42154,            0.029734,           0.0058985,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.022015,           0.0067235,                   0,             0.83131,             0.70432,             0.72517,             0.41351,            0.030326,           0.0059615,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.022702,           0.0061018,                   0,             0.83999,             0.74994,              0.7511,             0.41079,            0.030367,           0.0058935,                   0,            0.002608,            0.002608,            0.002608
                 114,            0.022447,           0.0061346,                   0,             0.78342,             0.77541,             0.76073,             0.41932,            0.030161,           0.0058963,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.023653,           0.0068817,                   0,             0.86814,             0.70569,             0.75287,             0.40697,            0.029554,           0.0059986,                   0,            0.002476,            0.002476,            0.002476
                 116,            0.020993,           0.0056802,                   0,             0.85461,             0.67857,             0.76121,             0.39241,            0.031112,           0.0059811,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.021291,           0.0062936,                   0,             0.79012,             0.71429,             0.74962,             0.40563,            0.031366,           0.0060101,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.020522,           0.0067013,                   0,             0.82949,             0.71429,             0.76847,             0.42722,            0.030574,           0.0060101,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.020006,           0.0057332,                   0,             0.82483,                0.75,             0.78023,             0.43654,            0.029277,           0.0060756,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.021332,           0.0056907,                   0,             0.80179,             0.78571,             0.76535,             0.43579,            0.030408,            0.006026,                   0,            0.002146,            0.002146,            0.002146
                 121,            0.021975,            0.007202,                   0,             0.75173,             0.78571,             0.78541,              0.4294,             0.03014,           0.0061969,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.019697,           0.0051471,                   0,             0.75593,             0.78571,             0.78677,             0.43674,            0.029965,           0.0062797,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.022539,           0.0059905,                   0,             0.83915,                0.75,              0.7842,             0.42772,            0.029689,           0.0062977,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.021036,           0.0057347,                   0,             0.90772,             0.70299,              0.7837,             0.43751,             0.02996,           0.0062972,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.020242,           0.0051064,                   0,             0.90448,             0.71429,             0.76001,             0.44996,            0.030639,           0.0061978,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.019346,           0.0064014,                   0,             0.85829,                0.75,             0.76498,             0.44235,            0.030321,           0.0061803,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.020307,           0.0059357,                   0,             0.84428,                0.75,             0.77216,             0.44258,            0.030074,           0.0062488,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.019153,           0.0059217,                   0,             0.83331,                0.75,             0.77047,              0.4388,            0.030374,           0.0062667,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.020863,           0.0054907,                   0,             0.76969,                0.75,             0.74652,             0.42781,            0.030191,           0.0061892,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.018731,           0.0055944,                   0,             0.81009,             0.78571,              0.7528,             0.42293,            0.030211,           0.0061352,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.019805,           0.0060684,                   0,             0.77356,                0.75,             0.72992,               0.424,            0.030483,            0.006197,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.019232,           0.0064886,                   0,              0.8112,             0.78571,             0.74786,             0.42006,            0.030727,             0.00626,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.018797,           0.0056024,                   0,              0.7739,                0.75,             0.73207,             0.42853,              0.0305,           0.0062838,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.019647,           0.0062343,                   0,              0.7724,                0.75,             0.72143,             0.42027,            0.030355,           0.0062529,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.019455,           0.0060301,                   0,             0.77229,                0.75,             0.70961,             0.41062,            0.030548,           0.0063034,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.019885,           0.0055641,                   0,             0.77666,             0.74533,                0.72,             0.40946,            0.030847,           0.0063676,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.018122,           0.0059813,                   0,             0.79529,             0.71429,             0.71712,             0.39389,            0.030755,           0.0064498,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.020347,           0.0052429,                   0,             0.79828,             0.70694,             0.72046,             0.40737,            0.030247,           0.0064404,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.022117,           0.0053951,                   0,             0.86156,             0.67857,             0.72104,             0.41386,            0.029736,           0.0063972,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.018807,           0.0054512,                   0,              0.8406,             0.67857,             0.74282,             0.42087,            0.029367,           0.0063803,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.019637,           0.0056805,                   0,             0.86193,             0.71429,             0.75166,             0.41071,              0.0298,           0.0064231,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.018773,           0.0060827,                   0,             0.83345,             0.67857,             0.72658,             0.42133,            0.029586,           0.0064561,                   0,            0.000694,            0.000694,            0.000694
                 143,             0.01852,           0.0061286,                   0,             0.83957,             0.74771,             0.75696,             0.42132,            0.029485,           0.0064712,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.018241,           0.0057284,                   0,             0.81299,             0.77654,             0.76442,             0.42158,            0.029274,           0.0064564,                   0,            0.000562,            0.000562,            0.000562
                 145,             0.01998,           0.0057054,                   0,             0.81148,             0.78571,             0.75866,             0.41555,            0.029427,            0.006448,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.017825,           0.0057421,                   0,             0.77221,                0.75,             0.74602,             0.41737,            0.029467,           0.0064445,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.018499,           0.0051849,                   0,             0.77283,                0.75,             0.73302,             0.41598,            0.029374,            0.006452,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.016395,           0.0050797,                   0,             0.77338,                0.75,             0.73204,             0.41612,            0.029446,           0.0064412,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.017202,           0.0045923,                   0,             0.77109,                0.75,             0.73678,             0.41676,            0.029582,           0.0064217,                   0,            0.000232,            0.000232,            0.000232
